Date	Total Trips
2021-01-01	1894
2021-01-02	1720
2021-01-03	1485
2021-01-04	1923
2021-01-05	2028
2021-01-06	2296
2021-01-07	2550
2021-01-08	2598
2021-01-09	2541
2021-01-10	2473
2021-01-11	2455
2021-01-12	2790
2021-01-13	2913
2021-01-14	2231
2021-01-15	2983
2021-01-16	2318
2021-01-17	2793
2021-01-18	3197
2021-01-19	2908
2021-01-20	2860
2021-01-21	2610
2021-01-22	3257
2021-01-23	2723
2021-01-24	1692
2021-01-25	2613
2021-01-26	2539
2021-01-27	1330
2021-01-28	1775
2021-01-29	1371
2021-01-30	1362
2021-01-31	1577
2021-02-01	1387
2021-02-02	858
2021-02-03	2059
2021-02-04	2546
2021-02-05	2625
2021-02-06	3146
2021-02-07	1254
2021-02-08	1482
2021-02-09	1427
2021-02-10	2001
2021-02-11	2387
2021-02-12	2219
2021-02-13	2317
2021-02-14	2065
2021-02-15	1708
2021-02-16	1476
2021-02-17	2357
2021-02-18	2131
2021-02-19	985
2021-02-20	1696
2021-02-21	2215
2021-02-22	1834
2021-02-23	2677
2021-02-24	3480
2021-02-25	3292
2021-02-26	3479
2021-02-27	2025
2021-02-28	3319
2021-03-01	2498
2021-03-02	1841
2021-03-03	3236
2021-03-04	3219
2021-03-05	2774
2021-03-06	3122
2021-03-07	2960
2021-03-08	2932
2021-03-09	4327
2021-03-10	4259
2021-03-11	5681
2021-03-12	6491
2021-03-13	5099
2021-03-14	2975
2021-03-15	2006
2021-03-16	2965
2021-03-17	4413
2021-03-18	2926
2021-03-19	3558
2021-03-20	7010
2021-03-21	7879
2021-03-22	5142
2021-03-23	5555
2021-03-24	5454
2021-03-25	5562
2021-03-26	6438
2021-03-27	9726
2021-03-28	2748
2021-03-29	4034
2021-03-30	5594
2021-03-31	6622
2021-04-01	3383
2021-04-02	4477
2021-04-03	5958
2021-04-04	6214
2021-04-05	4597
2021-04-06	5698
2021-04-07	5950
2021-04-08	6440
2021-04-09	7825
2021-04-10	12517
2021-04-11	6407
2021-04-12	4613
2021-04-13	5884
2021-04-14	6488
2021-04-15	4949
2021-04-16	1170
2021-04-17	4335
2021-04-18	8230
2021-04-19	7568
2021-04-20	8934
2021-04-21	5380
2021-04-22	4638
2021-04-23	6605
2021-04-24	13839
2021-04-25	6115
2021-04-26	5898
2021-04-27	6999
2021-04-28	6740
2021-04-29	3467
2021-04-30	6498
2021-05-01	10075
2021-05-02	10623
2021-05-03	7060
2021-05-04	4402
2021-05-05	3929
2021-05-06	8570
2021-05-07	9085
2021-05-08	8390
2021-05-09	9666
2021-05-10	6553
2021-05-11	8513
2021-05-12	8529
2021-05-13	9352
2021-05-14	10836
2021-05-15	13935
2021-05-16	11355
2021-05-17	8948
2021-05-18	9867
2021-05-19	9966
2021-05-20	10199
2021-05-21	10963
2021-05-22	12135
2021-05-23	10881
2021-05-24	9007
2021-05-25	9339
2021-05-26	9631
2021-05-27	9636
2021-05-28	8847
2021-05-29	2243
2021-05-30	3167
2021-05-31	5191
2021-06-01	8806
2021-06-02	9293
2021-06-03	9404
2021-06-04	8741
2021-06-05	12038
2021-06-06	10251
2021-06-07	8569
2021-06-08	8553
2021-06-09	9635
2021-06-10	11594
2021-06-11	11133
2021-06-12	12002
2021-06-13	13099
2021-06-14	5885
2021-06-15	9092
2021-06-16	11269
2021-06-17	11470
2021-06-18	12423
2021-06-19	12384
2021-06-20	11082
2021-06-21	9972
2021-06-22	7305
2021-06-23	10652
2021-06-24	12008
2021-06-25	11196
2021-06-26	14166
2021-06-27	12276
2021-06-28	9353
2021-06-29	9481
2021-06-30	8837
2021-07-01	8640
2021-07-02	5239
2021-07-03	3306
2021-07-04	6703
2021-07-05	10878
2021-07-06	8497
2021-07-07	9508
2021-07-08	8779
2021-07-09	4827
2021-07-10	12903
2021-07-11	11996
2021-07-12	5932
2021-07-13	10122
2021-07-14	10730
2021-07-15	11881
2021-07-16	10951
2021-07-17	11343
2021-07-18	7229
2021-07-19	8894
2021-07-20	11407
2021-07-21	11489
2021-07-22	12082
2021-07-23	12480
2021-07-24	15262
2021-07-25	9406
2021-07-26	10237
2021-07-27	11099
2021-07-28	10912
2021-07-29	10717
2021-07-30	11914
2021-07-31	14040
2021-08-01	12602
2021-08-02	10924
2021-08-03	11866
2021-08-04	11267
2021-08-05	5596
2021-08-06	12204
2021-08-07	13612
2021-08-08	12175
2021-08-09	10341
2021-08-10	10299
2021-08-11	11978
2021-08-12	10718
2021-08-13	11206
2021-08-14	12188
2021-08-15	13537
2021-08-16	11737
2021-08-17	11719
2021-08-18	11850
2021-08-19	7998
2021-08-20	11423
2021-08-21	14276
2021-08-22	6411
2021-08-23	8668
2021-08-24	10842
2021-08-25	12376
2021-08-26	12225
2021-08-27	13514
2021-08-28	14721
2021-08-29	12409
2021-08-30	13037
2021-08-31	13619
2021-09-01	8824
2021-09-02	11431
2021-09-03	15425
2021-09-04	16255
2021-09-05	12459
